t,mpw
0.0005,0
0.001,0.000204
0.0015,0.00024
0.002,0.000244
0.0025,0.000244
0.003,0.000246
0.0035,0.000246
0.004,0.000246
0.0045,0.000246
0.005,0.000246
0.0055,0.000246
0.006,0.000246
0.0065,0.000246
0.007,0.000246
0.0075,0.000246
0.008,0.000246
0.0085,0.000246
0.009,0.000246
0.0095,0.000246
0.01,0.000246
0.0105,0.000246
0.011,0.000246
0.0115,0.000246
0.012,0.000246
0.0125,0.000246
0.013,0.000246
0.0135,0.000246
0.014,0.000246
0.0145,0.000246
0.015,0.000246
0.0155,0.000246
0.016,0.000246
0.0165,0.000246
0.017,0.000246
0.0175,0.000246
0.018,0.000246
0.0185,0.000246
0.019,0.000246
0.0195,0.000246
0.02,0.000246
0.0205,0.000246
0.021,0.000246
0.0215,0.000246
0.022,0.000246
0.0225,0.000246
0.023,0.000246
0.0235,0.000246
0.024,0.000246
0.0245,0.000246
0.025,0.000246
0.0255,0.000246
0.026,0.000246
0.0265,0.000246
0.027,0.000246
0.0275,0.000246
0.028,0.000246
0.0285,0.000246
0.029,0.000246
0.0295,0.000246
0.03,0.000246
0.0305,0.000246
0.031,0.000246
0.0315,0.000246
0.032,0.000246
0.0325,0.000246
0.033,0.000246
0.0335,0.000246
0.034,0.000246
0.0345,0.000246
0.035,0.000246
0.0355,0.000246
0.036,0.000246
0.0365,0.000246
0.037,0.000246
0.0375,0.000246
0.038,0.000246
0.0385,0.000246
0.039,0.000246
0.0395,0.000246
0.04,0.000246
0.0405,0.000246
0.041,0.000246
0.0415,0.000246
0.042,0.000246
0.0425,0.000246
0.043,0.000246
0.0435,0.000246
0.044,0.000246
0.0445,0.000246
0.045,0.000246
0.0455,0.000246
0.046,0.000246
0.0465,0.000246
0.047,0.000246
0.0475,0.000246
0.048,0.000246
0.0485,0.000246
0.049,0.000246
0.0495,0.000246
0.05,0.000246
0.0505,0.000231
0.051,0.000271
0.0515,0.000271
0.052,0.000267
0.0525,0.000264
0.053,0.000261
0.0535,0.000259
0.054,0.000256
0.0545,0.000254
0.055,0.000253
0.0555,0.000253
0.056,0.000252
0.0565,0.000252
0.057,0.000252
0.0575,0.000251
0.058,0.000251
0.0585,0.00025
0.059,0.00025
0.0595,0.00025
0.06,0.00025
0.0605,0.00025
0.061,0.00025
0.0615,0.000249
0.062,0.000249
0.0625,0.00025
0.063,0.000249
0.0635,0.000249
0.064,0.000249
0.0645,0.000248
0.065,0.000248
0.0655,0.000248
0.066,0.000248
0.0665,0.000248
0.067,0.000248
0.0675,0.000248
0.068,0.000248
0.0685,0.000248
0.069,0.000248
0.0695,0.000248
0.07,0.000248
0.0705,0.000248
0.071,0.000248
0.0715,0.000248
0.072,0.000248
0.0725,0.000248
0.073,0.000248
0.0735,0.000248
0.074,0.000248
0.0745,0.000248
0.075,0.000248
0.0755,0.000248
0.076,0.000248
0.0765,0.000248
0.077,0.000246
0.0775,0.000246
0.078,0.000248
0.0785,0.000248
0.079,0.000248
0.0795,0.000248
0.08,0.000246
0.0805,0.000248
0.081,0.000248
0.0815,0.000248
0.082,0.000248
0.0825,0.000248
0.083,0.000246
0.0835,0.000246
0.084,0.000246
0.0845,0.000246
0.085,0.000246
0.0855,0.000248
0.086,0.000246
0.0865,0.000246
0.087,0.000246
0.0875,0.000248
0.088,0.000246
0.0885,0.000248
0.089,0.000248
0.0895,0.000246
0.09,0.000246
0.0905,0.000248
0.091,0.000246
0.0915,0.000248
0.092,0.000246
0.0925,0.000246
0.093,0.000246
0.0935,0.000246
0.094,0.000246
0.0945,0.000246
0.095,0.000246
0.0955,0.000246
0.096,0.000246
0.0965,0.000246
0.097,0.000246
0.0975,0.000246
0.098,0.000246
0.0985,0.000246
0.099,0.000246
0.0995,0.000246
0.1,0.000246
0.1005,0.00023
0.101,0.000271
0.1015,0.000272
0.102,0.000267
0.1025,0.000264
0.103,0.000262
0.1035,0.000261
0.104,0.000257
0.1045,0.000254
0.105,0.000253
0.1055,0.000253
0.106,0.000252
0.1065,0.000252
0.107,0.000252
0.1075,0.000251
0.108,0.000251
0.1085,0.00025
0.109,0.00025
0.1095,0.00025
0.11,0.00025
0.1105,0.00025
0.111,0.00025
0.1115,0.00025
0.112,0.00025
0.1125,0.00025
0.113,0.00025
0.1135,0.00025
0.114,0.00025
0.1145,0.000249
0.115,0.000249
0.1155,0.00025
0.116,0.00025
0.1165,0.00025
0.117,0.00025
0.1175,0.000248
0.118,0.000248
0.1185,0.000248
0.119,0.000249
0.1195,0.000248
0.12,0.000248
0.1205,0.000248
0.121,0.000248
0.1215,0.000248
0.122,0.000248
0.1225,0.000248
0.123,0.000248
0.1235,0.000248
0.124,0.000248
0.1245,0.000248
0.125,0.000248
0.1255,0.000248
0.126,0.000248
0.1265,0.000248
0.127,0.000248
0.1275,0.000248
0.128,0.000248
0.1285,0.000248
0.129,0.000248
0.1295,0.000248
0.13,0.000248
0.1305,0.000248
0.131,0.000248
0.1315,0.000248
0.132,0.000248
0.1325,0.000248
0.133,0.000248
0.1335,0.000248
0.134,0.000248
0.1345,0.000248
0.135,0.000248
0.1355,0.000248
0.136,0.000248
0.1365,0.000248
0.137,0.000248
0.1375,0.000248
0.138,0.000248
0.1385,0.000248
0.139,0.000248
0.1395,0.000248
0.14,0.000248
0.1405,0.000248
0.141,0.000248
0.1415,0.000248
0.142,0.000248
0.1425,0.000246
0.143,0.000246
0.1435,0.000248
0.144,0.000247
0.1445,0.000248
0.145,0.000248
0.1455,0.000246
0.146,0.000246
0.1465,0.000248
0.147,0.000248
0.1475,0.000248
0.148,0.000246
0.1485,0.000246
0.149,0.000246
0.1495,0.000246
0.15,0.000248
0.1505,0.000231
0.151,0.000271
0.1515,0.000273
0.152,0.000267
0.1525,0.000265
0.153,0.000262
0.1535,0.000261
0.154,0.000257
0.1545,0.000255
0.155,0.000253
0.1555,0.000253
0.156,0.000253
0.1565,0.000252
0.157,0.000253
0.1575,0.000252
0.158,0.000252
0.1585,0.000251
0.159,0.000252
0.1595,0.000251
0.16,0.000251
0.1605,0.00025
0.161,0.000251
0.1615,0.00025
0.162,0.00025
0.1625,0.00025
0.163,0.00025
0.1635,0.00025
0.164,0.00025
0.1645,0.00025
0.165,0.00025
0.1655,0.00025
0.166,0.00025
0.1665,0.00025
0.167,0.00025
0.1675,0.000249
0.168,0.000249
0.1685,0.000249
0.169,0.000249
0.1695,0.00025
0.17,0.00025
0.1705,0.000249
0.171,0.000248
0.1715,0.000248
0.172,0.000248
0.1725,0.000248
0.173,0.000249
0.1735,0.000248
0.174,0.000248
0.1745,0.000248
0.175,0.000248
0.1755,0.000249
0.176,0.000248
0.1765,0.000248
0.177,0.000248
0.1775,0.000248
0.178,0.000248
0.1785,0.000248
0.179,0.000248
0.1795,0.000248
0.18,0.000248
0.1805,0.000248
0.181,0.000248
0.1815,0.000248
0.182,0.000248
0.1825,0.000248
0.183,0.000248
0.1835,0.000248
0.184,0.000248
0.1845,0.000248
0.185,0.000248
0.1855,0.000248
0.186,0.000248
0.1865,0.000248
0.187,0.000248
0.1875,0.000248
0.188,0.000248
0.1885,0.000248
0.189,0.000248
0.1895,0.000248
0.19,0.000248
0.1905,0.000248
0.191,0.000248
0.1915,0.000248
0.192,0.000248
0.1925,0.000248
0.193,0.000248
0.1935,0.000248
0.194,0.000248
0.1945,0.000248
0.195,0.000248
0.1955,0.000248
0.196,0.000248
0.1965,0.000248
0.197,0.000248
0.1975,0.000248
0.198,0.000248
0.1985,0.000246
0.199,0.000246
0.1995,0.000247
0.2,0.000248
0.2005,0.000232
0.201,0.000271
0.2015,0.000274
0.202,0.000268
0.2025,0.000265
0.203,0.000263
0.2035,0.000262
0.204,0.000258
0.2045,0.000256
0.205,0.000254
0.2055,0.000253
0.206,0.000253
0.2065,0.000253
0.207,0.000253
0.2075,0.000252
0.208,0.000252
0.2085,0.000252
0.209,0.000252
0.2095,0.000251
0.21,0.000251
0.2105,0.00025
0.211,0.000251
0.2115,0.00025
0.212,0.00025
0.2125,0.000251
0.213,0.00025
0.2135,0.00025
0.214,0.00025
0.2145,0.00025
0.215,0.00025
0.2155,0.00025
0.216,0.00025
0.2165,0.00025
0.217,0.00025
0.2175,0.00025
0.218,0.00025
0.2185,0.00025
0.219,0.00025
0.2195,0.00025
0.22,0.00025
0.2205,0.00025
0.221,0.00025
0.2215,0.00025
0.222,0.00025
0.2225,0.00025
0.223,0.00025
0.2235,0.00025
0.224,0.000248
0.2245,0.000249
0.225,0.000249
0.2255,0.00025
0.226,0.00025
0.2265,0.00025
0.227,0.000248
0.2275,0.000248
0.228,0.000249
0.2285,0.000249
0.229,0.000248
0.2295,0.000248
0.23,0.000248
0.2305,0.000248
0.231,0.000248
0.2315,0.000248
0.232,0.000248
0.2325,0.000248
0.233,0.000248
0.2335,0.000248
0.234,0.000248
0.2345,0.000248
0.235,0.000248
0.2355,0.000249
0.236,0.000248
0.2365,0.000248
0.237,0.000248
0.2375,0.000248
0.238,0.000248
0.2385,0.000248
0.239,0.000248
0.2395,0.000248
0.24,0.000248
0.2405,0.000248
0.241,0.000248
0.2415,0.000248
0.242,0.000248
0.2425,0.000248
0.243,0.000248
0.2435,0.000248
0.244,0.000248
0.2445,0.000248
0.245,0.000248
0.2455,0.000248
0.246,0.000248
0.2465,0.000248
0.247,0.000248
0.2475,0.000248
0.248,0.000248
0.2485,0.000248
0.249,0.000248
0.2495,0.000248
0.25,0.000248
0.2505,0.000232
0.251,0.000271
0.2515,0.000274
0.252,0.000268
0.2525,0.000265
0.253,0.000263
0.2535,0.000262
0.254,0.000258
0.2545,0.000257
0.255,0.000255
0.2555,0.000253
0.256,0.000253
0.2565,0.000253
0.257,0.000253
0.2575,0.000252
0.258,0.000252
0.2585,0.000252
0.259,0.000252
0.2595,0.000252
0.26,0.000252
0.2605,0.000251
0.261,0.000252
0.2615,0.00025
0.262,0.00025
0.2625,0.000251
0.263,0.000251
0.2635,0.000251
0.264,0.000251
0.2645,0.00025
0.265,0.00025
0.2655,0.00025
0.266,0.00025
0.2665,0.00025
0.267,0.00025
0.2675,0.00025
0.268,0.00025
0.2685,0.00025
0.269,0.00025
0.2695,0.000249
0.27,0.00025
0.2705,0.00025
0.271,0.00025
0.2715,0.00025
0.272,0.00025
0.2725,0.00025
0.273,0.00025
0.2735,0.00025
0.274,0.00025
0.2745,0.00025
0.275,0.00025
0.2755,0.00025
0.276,0.00025
0.2765,0.00025
0.277,0.000248
0.2775,0.00025
0.278,0.00025
0.2785,0.00025
0.279,0.000249
0.2795,0.000249
0.28,0.000248
0.2805,0.000248
0.281,0.000248
0.2815,0.000249
0.282,0.000248
0.2825,0.00025
0.283,0.000248
0.2835,0.000248
0.284,0.000248
0.2845,0.00025
0.285,0.000248
0.2855,0.00025
0.286,0.000248
0.2865,0.000248
0.287,0.000248
0.2875,0.000248
0.288,0.000248
0.2885,0.000248
0.289,0.000248
0.2895,0.000248
0.29,0.000248
0.2905,0.000248
0.291,0.000248
0.2915,0.000248
0.292,0.000248
0.2925,0.000248
0.293,0.000248
0.2935,0.000248
0.294,0.000248
0.2945,0.000248
0.295,0.000248
0.2955,0.000248
0.296,0.000248
0.2965,0.000248
0.297,0.000248
0.2975,0.000248
0.298,0.000248
0.2985,0.000248
0.299,0.000248
0.2995,0.000248
0.3,0.000248
0.3005,0.000233
0.301,0.000271
0.3015,0.000274
0.302,0.000268
0.3025,0.000265
0.303,0.000263
0.3035,0.000262
0.304,0.000258
0.3045,0.000257
0.305,0.000255
0.3055,0.000253
0.306,0.000253
0.3065,0.000253
0.307,0.000253
0.3075,0.000252
0.308,0.000252
0.3085,0.000252
0.309,0.000252
0.3095,0.000252
0.31,0.000252
0.3105,0.000252
0.311,0.000252
0.3115,0.000251
0.312,0.000251
0.3125,0.000251
0.313,0.000251
0.3135,0.000251
0.314,0.000252
0.3145,0.00025
0.315,0.00025
0.3155,0.00025
0.316,0.00025
0.3165,0.00025
0.317,0.00025
0.3175,0.00025
0.318,0.00025
0.3185,0.00025
0.319,0.00025
0.3195,0.00025
0.32,0.00025
0.3205,0.00025
0.321,0.00025
0.3215,0.00025
0.322,0.00025
0.3225,0.00025
0.323,0.00025
0.3235,0.00025
0.324,0.00025
0.3245,0.00025
0.325,0.00025
0.3255,0.00025
0.326,0.00025
0.3265,0.00025
0.327,0.000249
0.3275,0.00025
0.328,0.00025
0.3285,0.00025
0.329,0.000249
0.3295,0.000249
0.33,0.000248
0.3305,0.000248
0.331,0.000248
0.3315,0.000248
0.332,0.00025
0.3325,0.00025
0.333,0.000249
0.3335,0.000249
0.334,0.000249
0.3345,0.00025
0.335,0.000249
0.3355,0.00025
0.336,0.000248
0.3365,0.000248
0.337,0.000248
0.3375,0.000248
0.338,0.000248
0.3385,0.00025
0.339,0.000248
0.3395,0.000248
0.34,0.000248
0.3405,0.000248
0.341,0.000248
0.3415,0.000248
0.342,0.000248
0.3425,0.000248
0.343,0.000248
0.3435,0.000248
0.344,0.000248
0.3445,0.000248
0.345,0.000248
0.3455,0.000248
0.346,0.000248
0.3465,0.000248
0.347,0.000248
0.3475,0.000248
0.348,0.000248
0.3485,0.000248
0.349,0.000248
0.3495,0.000248
0.35,0.000248
0.3505,0.000233
0.351,0.000271
0.3515,0.000274
0.352,0.000268
0.3525,0.000266
0.353,0.000264
0.3535,0.000263
0.354,0.000258
0.3545,0.000257
0.355,0.000255
0.3555,0.000254
0.356,0.000253
0.3565,0.000253
0.357,0.000253
0.3575,0.000252
0.358,0.000252
0.3585,0.000252
0.359,0.000252
0.3595,0.000252
0.36,0.000252
0.3605,0.000252
0.361,0.000252
0.3615,0.000251
0.362,0.000251
0.3625,0.000252
0.363,0.000252
0.3635,0.000251
0.364,0.000251
0.3645,0.00025
0.365,0.00025
0.3655,0.00025
0.366,0.00025
0.3665,0.00025
0.367,0.000251
0.3675,0.00025
0.368,0.00025
0.3685,0.00025
0.369,0.00025
0.3695,0.00025
0.37,0.00025
0.3705,0.00025
0.371,0.00025
0.3715,0.00025
0.372,0.00025
0.3725,0.00025
0.373,0.00025
0.3735,0.00025
0.374,0.00025
0.3745,0.00025
0.375,0.00025
0.3755,0.00025
0.376,0.00025
0.3765,0.00025
0.377,0.00025
0.3775,0.00025
0.378,0.00025
0.3785,0.00025
0.379,0.00025
0.3795,0.00025
0.38,0.000248
0.3805,0.00025
0.381,0.00025
0.3815,0.00025
0.382,0.00025
0.3825,0.00025
0.383,0.000248
0.3835,0.000249
0.384,0.00025
0.3845,0.00025
0.385,0.00025
0.3855,0.00025
0.386,0.000248
0.3865,0.000248
0.387,0.000249
0.3875,0.00025
0.388,0.00025
0.3885,0.000249
0.389,0.000248
0.3895,0.000248
0.39,0.000248
0.3905,0.000248
0.391,0.000249
0.3915,0.000248
0.392,0.000248
0.3925,0.000248
0.393,0.000248
0.3935,0.000248
0.394,0.000248
0.3945,0.000248
0.395,0.000248
0.3955,0.000248
0.396,0.000248
0.3965,0.000248
0.397,0.000248
0.3975,0.000248
0.398,0.000248
0.3985,0.000248
0.399,0.000248
0.3995,0.000248
0.4,0.000248
0.4005,0.000233
0.401,0.000271
0.4015,0.000274
0.402,0.000268
0.4025,0.000266
0.403,0.000264
0.4035,0.000263
0.404,0.000259
0.4045,0.000257
0.405,0.000255
0.4055,0.000254
0.406,0.000253
0.4065,0.000253
0.407,0.000253
0.4075,0.000252
0.408,0.000252
0.4085,0.000252
0.409,0.000252
0.4095,0.000252
0.41,0.000252
0.4105,0.000252
0.411,0.000252
0.4115,0.000252
0.412,0.000252
0.4125,0.000252
0.413,0.000252
0.4135,0.000252
0.414,0.000252
0.4145,0.000251
0.415,0.00025
0.4155,0.000251
0.416,0.00025
0.4165,0.00025
0.417,0.000251
0.4175,0.00025
0.418,0.00025
0.4185,0.00025
0.419,0.00025
0.4195,0.00025
0.42,0.00025
0.4205,0.00025
0.421,0.00025
0.4215,0.00025
0.422,0.00025
0.4225,0.00025
0.423,0.00025
0.4235,0.00025
0.424,0.00025
0.4245,0.00025
0.425,0.00025
0.4255,0.00025
0.426,0.00025
0.4265,0.00025
0.427,0.00025
0.4275,0.00025
0.428,0.00025
0.4285,0.00025
0.429,0.00025
0.4295,0.00025
0.43,0.00025
0.4305,0.00025
0.431,0.00025
0.4315,0.00025
0.432,0.00025
0.4325,0.00025
0.433,0.00025
0.4335,0.00025
0.434,0.00025
0.4345,0.00025
0.435,0.00025
0.4355,0.00025
0.436,0.000249
0.4365,0.00025
0.437,0.000249
0.4375,0.00025
0.438,0.00025
0.4385,0.00025
0.439,0.000248
0.4395,0.000248
0.44,0.000248
0.4405,0.000248
0.441,0.000249
0.4415,0.000248
0.442,0.000248
0.4425,0.000248
0.443,0.000248
0.4435,0.000248
0.444,0.000248
0.4445,0.000248
0.445,0.000248
0.4455,0.000248
0.446,0.000248
0.4465,0.000248
0.447,0.000248
0.4475,0.000248
0.448,0.000248
0.4485,0.000248
0.449,0.000248
0.4495,0.000248
0.45,0.000248
0.4505,0.000233
0.451,0.000271
0.4515,0.000274
0.452,0.000269
0.4525,0.000266
0.453,0.000264
0.4535,0.000263
0.454,0.000259
0.4545,0.000258
0.455,0.000256
0.4555,0.000254
0.456,0.000253
0.4565,0.000253
0.457,0.000253
0.4575,0.000252
0.458,0.000252
0.4585,0.000252
0.459,0.000252
0.4595,0.000252
0.46,0.000252
0.4605,0.000252
0.461,0.000252
0.4615,0.000252
0.462,0.000252
0.4625,0.000252
0.463,0.000252
0.4635,0.000252
0.464,0.000252
0.4645,0.00025
0.465,0.000251
0.4655,0.000251
0.466,0.000251
0.4665,0.000251
0.467,0.000251
0.4675,0.00025
0.468,0.00025
0.4685,0.00025
0.469,0.00025
0.4695,0.00025
0.47,0.00025
0.4705,0.00025
0.471,0.00025
0.4715,0.00025
0.472,0.00025
0.4725,0.00025
0.473,0.00025
0.4735,0.00025
0.474,0.00025
0.4745,0.00025
0.475,0.00025
0.4755,0.00025
0.476,0.00025
0.4765,0.00025
0.477,0.00025
0.4775,0.00025
0.478,0.00025
0.4785,0.00025
0.479,0.00025
0.4795,0.00025
0.48,0.00025
0.4805,0.00025
0.481,0.00025
0.4815,0.00025
0.482,0.00025
0.4825,0.00025
0.483,0.00025
0.4835,0.00025
0.484,0.00025
0.4845,0.00025
0.485,0.00025
0.4855,0.00025
0.486,0.000249
0.4865,0.000249
0.487,0.00025
0.4875,0.00025
0.488,0.00025
0.4885,0.00025
0.489,0.000249
0.4895,0.000248
0.49,0.000248
0.4905,0.000248
0.491,0.00025
0.4915,0.00025
0.492,0.000248
0.4925,0.000248
0.493,0.000248
0.4935,0.000248
0.494,0.000248
0.4945,0.000248
0.495,0.000248
0.4955,0.000248
0.496,0.000248
0.4965,0.000248
0.497,0.000248
0.4975,0.000248
0.498,0.000248
0.4985,0.000248
0.499,0.000248
0.4995,0.000248
0.5,0
